127.0.0.1 - - [23/May/2022:21:56:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2022:21:56:41 +0900] "GET /metabucks/PROTO/index.html HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [23/May/2022:21:56:41 +0900] "GET /metabucks/PROTO/js/common.js HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [23/May/2022:21:56:41 +0900] "GET /metabucks/PROTO/js/jquery.js HTTP/1.1" 200 299461
0:0:0:0:0:0:0:1 - - [23/May/2022:21:56:41 +0900] "GET /metabucks/PROTO/css/all.css HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [23/May/2022:21:56:41 +0900] "GET /metabucks/PROTO/js/cart.js HTTP/1.1" 200 4612
0:0:0:0:0:0:0:1 - - [23/May/2022:21:56:41 +0900] "GET /metabucks/PROTO/js/input.js HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [23/May/2022:21:56:41 +0900] "POST /metabucks/PROTO/option.html HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [23/May/2022:21:56:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2022:21:56:42 +0900] "POST /metabucks/PROTO/jsp/top.jsp HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [23/May/2022:22:19:09 +0900] "GET /metabucks/HOME/index.jsp HTTP/1.1" 200 8572
0:0:0:0:0:0:0:1 - - [23/May/2022:22:19:09 +0900] "GET /metabucks/HOME/css/sub.css HTTP/1.1" 200 12158
0:0:0:0:0:0:0:1 - - [23/May/2022:22:19:10 +0900] "GET /metabucks/HOME/image/sub/about_bg1.jpg HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [23/May/2022:22:19:10 +0900] "GET /metabucks/HOME/image/sub/icon_plus.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [23/May/2022:22:19:10 +0900] "GET /metabucks/HOME/image/board_img/sel_arr.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [23/May/2022:22:19:20 +0900] "GET /metabucks/KIOSK/index.jsp HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [23/May/2022:22:19:20 +0900] "GET /metabucks/KIOSK/css/kiosk.css HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [23/May/2022:22:19:20 +0900] "GET /metabucks/KIOSK/images/background.gif HTTP/1.1" 200 256939
0:0:0:0:0:0:0:1 - - [23/May/2022:22:19:25 +0900] "GET /metabucks/KIOSK/login.jsp HTTP/1.1" 200 2903
0:0:0:0:0:0:0:1 - - [23/May/2022:22:19:25 +0900] "GET /metabucks/KIOSK/js/jquery-3.6.0.js HTTP/1.1" 200 288580
